date,ticker,pe,source,source_url,snapshot_fetched_at
2021-02-28,QQQ,32.96,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2021-03-31,QQQ,29.68,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2021-04-30,QQQ,31.42,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2021-05-31,QQQ,31.03,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2021-06-30,QQQ,28.09,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2021-07-31,QQQ,28.87,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2021-08-31,QQQ,30.07,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2021-09-30,QQQ,27.03,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2021-10-31,QQQ,29.16,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2021-11-30,QQQ,29.69,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2021-12-31,QQQ,28.76,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2022-01-31,QQQ,26.31,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2022-02-28,QQQ,25.09,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2022-03-31,QQQ,26.53,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2022-04-30,QQQ,22.98,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2022-05-31,QQQ,22.6,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2022-06-30,QQQ,22.09,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2022-07-31,QQQ,24.86,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2022-08-31,QQQ,23.56,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2022-09-30,QQQ,22.25,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2022-10-31,QQQ,23.14,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2022-11-30,QQQ,24.4,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2022-12-31,QQQ,22.19,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2023-01-31,QQQ,26.31,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2023-02-28,QQQ,26.18,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2023-03-31,QQQ,28.55,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2023-04-30,QQQ,28.69,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2023-05-31,QQQ,30.87,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2023-06-30,QQQ,30.26,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2023-07-31,QQQ,31.41,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2023-08-31,QQQ,30.9,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2023-09-30,QQQ,29.33,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2023-10-31,QQQ,27.44,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2023-11-30,QQQ,30.36,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2023-12-31,QQQ,32.04,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2024-01-31,QQQ,28.25,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2024-02-29,QQQ,29.74,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2024-03-31,QQQ,30.09,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2024-04-30,QQQ,29.85,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2024-05-31,QQQ,31.73,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2024-06-30,QQQ,33.69,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2024-07-31,QQQ,32.66,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2024-08-31,QQQ,33.02,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2024-09-30,QQQ,35.02,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2024-10-31,QQQ,34.72,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2024-11-30,QQQ,36.54,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
